PID,CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,KA_name,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue ,AvgFIXRevenue,TotalRevenue,ARPU,CHURN
123759242,Bronze,SOHO,6000,VM,2,,,2,40.17,0,40.17,,No
126145737,Bronze,SOHO,6400,VM,3,,,3,40.17,0,40.17,13.39,No
123506355,Bronze,SOHO,6000,DI,2,3,,5,40.17,0,40.17,20.09,No
112595585,Bronze,SOHO,4400,MT,1,2,,3,40.17,0,40.17,40.17,No
115097935,Iron,SOHO,4000,AD,2,1,,3,40.17,0,40.17,20.09,No
108684074,Gold,VSE,6600,RJ,2,11,,13,40.17,0,40.17,20.09,No
112504678,Bronze,SOHO,4644,MT,4,,,4,40.33,0,40.33,10.08,Yes
833121152,Iron,SOHO,6100,VM,5,2,,7,40.33,0,40.33,8.07,No
123654309,Iron,SOHO,6100,DI,3,,,3,40.33,0,40.33,13.44,No
123688980,Bronze,SOHO,6280,AD?,1,,,1,40.33,0,40.33,40.33,No
112624478,Bronze,SOHO,4550,MT,3,,,3,40.5,0,40.5,13.5,No
833063667,Bronze,SOHO,6000,VM,4,1,,5,40.5,0,40.5,10.13,No
123756730,Iron,SOHO,6000,DI,2,,,2,40.5,0,40.5,20.25,No
115080505,Iron,SOHO,4230,AD,4,,,4,40.67,0,40.67,10.17,No
112593997,Bronze,SOHO,4550,MT,5,1,,6,40.83,0,40.83,8.17,No
115028540,Bronze,SOHO,4300,AD,3,1,,4,40.83,0,40.83,13.61,No
115050907,Iron,SOHO,4015,AD,3,8,,11,40.83,0,40.83,13.61,No
115082883,Gold,VSE,4000,AD,7,25,,32,40.83,0,40.83,5.83,No
112594661,Bronze,SOHO,4500,AD,2,,,2,40.83,0,40.83,20.42,No
123104639,Bronze,SOHO,6000,AD?,1,3,,4,40.83,0,40.83,40.83,No
112131909,Iron,SOHO,4400,MT,4,,,4,41,0,41,10.25,Yes
115505931,Iron,SOHO,4004,VU,4,,,4,41,0,41,10.25,No
115514204,Bronze,SOHO,4017,VU,6,,,6,41,0,41,6.83,No
115093883,Iron,SOHO,4023,VT,5,,,5,41,0,41,8.2,No
200992943,Iron,SOHO,6000,VM,4,,,4,41,0,41,10.25,No
123622279,Iron,SOHO,6000,DI,3,,,3,41,0,41,13.67,No
123025540,Bronze,SOHO,6000,AD?,3,3,,6,41,0,41,13.67,No
115235628,Bronze,SOHO,4000,AD,3,7,,10,41.17,0,41.17,13.72,No
30240535,Bronze,SOHO,4004,VU,3,2,,5,41.17,0,41.17,13.72,No
115121023,Bronze,SOHO,4000,VU,1,4,,5,41.17,0,41.17,41.17,No
115023205,Bronze,SOHO,4230,VT,4,1,,5,41.17,0,41.17,10.29,No
123059998,Bronze,SOHO,6000,VM,4,2,,6,41.17,0,41.17,10.29,No
123089411,Bronze,SOHO,9283,DI,4,2,,6,41.17,0,41.17,10.29,No
113050246,Bronze,SOHO,4000,AD,4,,,4,41.17,0,41.17,10.29,No
115013588,Bronze,SOHO,4173,AD,5,,,5,41.17,0,41.17,8.23,No
123117298,Iron,SOHO,8900,RJ,3,,,3,41.17,0,41.17,13.72,No
102756855,Bronze,SOHO,6155,VM,3,,,3,41.33,0,41.33,13.78,No
112111244,Iron,SOHO,4400,MT,2,,,2,41.33,0,41.33,20.67,No
112629607,Iron,SOHO,4400,MT,3,,,3,41.33,0,41.33,13.78,No
126734116,Iron,SOHO,6310,RJ,4,,,4,41.33,0,41.33,10.33,No
40578948,Bronze,SOHO,4400,MT,3,1,,4,41.5,0,41.5,13.83,No
112668357,Bronze,SOHO,4400,MT,2,1,,3,41.5,0,41.5,20.75,No
112531322,Bronze,SOHO,4468,MT,2,,,2,41.67,0,41.67,20.84,No
115535522,Bronze,SOHO,4023,VU,1,2,,3,41.67,0,41.67,41.67,No
200063700,Bronze,SOHO,4023,AD,3,4,,7,41.67,0,41.67,13.89,No
112065619,Bronze,SOHO,4400,MT,4,,,4,41.83,0,41.83,10.46,No
115064287,Bronze,SOHO,4000,AD,3,7,,10,41.83,0,41.83,13.94,No
115048436,Bronze,SOHO,4013,AD,2,1,,3,41.83,0,41.83,20.92,No
123744482,Bronze,SOHO,6000,AD?,2,,1,3,41.83,0,41.83,20.92,No
112606512,Bronze,SOHO,4400,MT,3,,,3,42,0,42,14,No
115063993,Bronze,SOHO,4004,VT,4,,,4,42,0,42,10.5,No
115090638,Bronze,SOHO,4000,VT,5,2,,7,42,0,42,8.4,Yes
115271994,Iron,SOHO,4004,VT,5,1,,6,42,0,42,8.4,No
202395548,Iron,SOHO,4000,VT,5,,,5,42,0,42,8.4,No
123011010,Iron,SOHO,6100,DI,5,1,,6,42,0,42,8.4,No
123555446,Iron,SOHO,6000,AD?,5,1,,6,42,0,42,8.4,No
115018681,Bronze,SOHO,4023,AD,3,,,3,42.17,0,42.17,14.06,No
40967650,Bronze,SOHO,4400,MT,3,1,,4,42.17,0,42.17,14.06,Yes
40184280,Bronze,SOHO,6091,DI,5,,,5,42.17,0,42.17,8.43,No
115301494,Bronze,SOHO,4144,VU,3,,,3,42.33,0,42.33,14.11,No
201011443,Bronze,SOHO,6260,VM,5,,,5,42.33,0,42.33,8.47,No
123108370,Silver,VSE,6000,DI,3,1,,4,42.33,0,42.33,14.11,No
123522019,Bronze,SOHO,6000,DI,5,,,5,42.33,0,42.33,8.47,No
112660093,Iron,SOHO,4550,MT,1,4,,5,42.33,0,42.33,42.33,No
160090583,Bronze,SOHO,4225,AD,3,3,,6,42.33,0,42.33,14.11,No
126620550,Bronze,SOHO,6400,AD?,4,2,,6,42.33,0,42.33,10.58,No
200364625,Bronze,SOHO,6260,AD?,2,,,2,42.33,0,42.33,21.17,No
459135,Bronze,SOHO,4150,AD,4,,,4,42.5,0,42.5,10.63,No
200461615,Silver,VSE,4000,AD,2,6,,8,42.5,0,42.5,21.25,No
345306,Iron,VSE,4400,MT,1,33,,34,42.5,0,42.5,42.5,No
115214908,Bronze,SOHO,4002,VU,1,4,,5,42.5,0,42.5,42.5,No
201005397,Lead,SOHO,4000,VT,3,,,3,42.5,0,42.5,14.17,No
833044115,Bronze,SOHO,6001,VM,4,1,,5,42.5,0,42.5,10.63,No
115023618,Bronze,SOHO,4023,AD,5,4,,9,42.5,0,42.5,8.5,No
123161800,Bronze,SOHO,6000,AD?,3,3,,6,42.5,0,42.5,14.17,No
115539937,Bronze,SOHO,4223,VU,3,2,,5,42.67,0,42.67,14.22,No
123510604,Bronze,SOHO,6000,DI,4,3,,7,42.67,0,42.67,10.67,No
126504873,Bronze,SOHO,6300,RJ,3,,,3,42.67,0,42.67,14.22,Yes
40886248,Bronze,SOHO,4600,VU,4,1,,5,42.83,0,42.83,10.71,Yes
344930,Bronze,SOHO,4400,MT,4,1,,5,42.83,0,42.83,10.71,No
30125390,Bronze,SOHO,4002,VT,3,,,3,42.83,0,42.83,14.28,No
123502269,Bronze,SOHO,6200,VM,3,2,,5,42.83,0,42.83,14.28,No
115134472,Bronze,SOHO,4000,AD,1,5,,6,43,0,43,43,No
201951958,Bronze,SOHO,4023,AD,2,,,2,43,0,43,21.5,No
202151120,Bronze,SOHO,4000,AD,3,,,3,43,0,43,14.33,No
115138307,Bronze,SOHO,4000,VT,1,6,,7,43,0,43,43,No
123740142,Bronze,SOHO,6000,DI,4,,,4,43,0,43,10.75,No
123700429,Bronze,SOHO,6000,AD?,1,1,,2,43,0,43,43,No
115639179,Bronze,SOHO,4004,AD,4,2,,6,43.17,0,43.17,10.79,No
115225274,Iron,SOHO,4220,VT,4,1,,5,43.17,0,43.17,10.79,No
123754505,Iron,SOHO,6100,DI,6,,,6,43.17,0,43.17,7.2,No
160081805,Iron,SOHO,4023,AD,4,,,4,43.17,0,43.17,10.79,No
342445,Bronze,SOHO,4465,MT,2,,,2,43.33,0,43.33,21.67,No
112030792,Bronze,SOHO,4400,MT,5,6,,11,43.33,0,43.33,8.67,No
200493285,Bronze,SOHO,6000,DI,4,,,4,43.33,0,43.33,10.83,No
123538895,Bronze,SOHO,6000,AD?,2,1,,3,43.33,0,43.33,21.67,No
108534676,Bronze,SOHO,6900,RJ,3,,,3,43.33,0,43.33,14.44,No
115277591,Iron,SOHO,4003,AD,5,1,,6,43.5,0,43.5,8.7,No
115305700,Bronze,SOHO,4150,VU,5,,,5,43.5,0,43.5,8.7,Yes
112658822,Iron,SOHO,4400,MT,3,3,,6,43.5,0,43.5,14.5,No
123530546,Bronze,SOHO,6100,AD?,3,1,,4,43.5,0,43.5,14.5,Yes
40131993,Silver,SOHO,4002,VU,4,3,,7,43.67,0,43.67,10.92,No
126045669,Bronze,SOHO,6400,VM,4,,,4,43.67,0,43.67,10.92,No
40700601,Bronze,SOHO,6000,DI,3,,,3,43.67,0,43.67,14.56,No
112594234,Iron,SOHO,4600,Daniela Stefanova,2,,1,3,43.67,0,43.67,21.84,No
830190638,Iron,SOHO,4023,AD,1,5,,6,43.67,0,43.67,43.67,No
126092313,Bronze,SOHO,6400,AD?,4,,,4,43.67,0,43.67,10.92,No
40329046,Bronze,SOHO,4150,VU,3,4,,7,43.83,0,43.83,14.61,No
115171410,Bronze,SOHO,4109,VT,3,,,3,43.83,0,43.83,14.61,No
112539241,Bronze,SOHO,4500,AD,1,1,,2,43.83,0,43.83,43.83,No
115310689,Bronze,SOHO,4114,VT,5,1,,6,44,0,44,8.8,No
123744799,Bronze,SOHO,6000,AD?,3,,,3,44,0,44,14.67,No
30261091,Bronze,SOHO,4700,VU,4,,,4,44.17,0,44.17,11.04,No
40322468,Bronze,SOHO,4400,MT,3,2,,5,44.17,0,44.17,14.72,No
123749981,Bronze,SOHO,6000,VM,2,3,,5,44.17,0,44.17,22.09,No
160070029,Iron,SOHO,4000,DI,1,,,1,25.5,18.67,44.17,25.5,No
160084623,Bronze,SOHO,4000,AD,2,5,,7,44.17,0,44.17,22.09,No
115045924,Bronze,SOHO,4000,AD,3,1,,4,44.33,0,44.33,14.78,No
454490,Iron,SOHO,4197,VU,2,,,2,44.33,0,44.33,22.17,No
30264714,Bronze,SOHO,6100,DI,2,9,,11,44.33,0,44.33,22.17,No
115027794,Bronze,SOHO,4000,AD,4,,,4,44.33,0,44.33,11.08,No
126170572,Bronze,SOHO,6400,AD?,1,,3,4,44.33,0,44.33,44.33,No
126504243,Silver,VSE,6300,RJ,1,18,,19,44.33,0,44.33,44.33,No
120563861,Silver,SOHO,4700,VU,3,6,,9,44.5,0,44.5,14.83,No
123662149,Bronze,SOHO,6100,DI,6,,,6,44.5,0,44.5,7.42,No
126165088,Lead,SOHO,6400,DI,4,1,,5,44.5,0,44.5,11.13,No
123078347,Bronze,SOHO,6000,AD?,3,,,3,44.5,0,44.5,14.83,No
115016399,Bronze,SOHO,4000,VT,3,1,,4,44.67,0,44.67,14.89,No
126640154,Bronze,SOHO,6550,RJ,5,,,5,44.67,0,44.67,8.93,No
20988637,Bronze,SOHO,4023,VU,3,5,,8,44.83,0,44.83,14.94,No
115302678,Silver,SOHO,4003,VU,3,3,,6,44.83,0,44.83,14.94,No
123535550,Bronze,SOHO,6000,VM,3,,,3,44.83,0,44.83,14.94,No
123631577,Bronze,SOHO,6000,DI,3,,,3,44.83,0,44.83,14.94,No
115062585,Iron,SOHO,4003,AD,4,5,,9,45,0,45,11.25,No
160107495,Bronze,SOHO,4002,AD,3,2,,5,45,0,45,15,No
341717,Bronze,SOHO,4400,MT,3,,,3,45.17,0,45.17,15.06,No
40336390,Bronze,SOHO,4000,AD,5,4,,9,45.17,0,45.17,9.03,No
30044472,Bronze,SOHO,4400,MT,4,2,,6,45.17,0,45.17,11.29,No
123053842,Bronze,SOHO,6100,DI,2,1,,3,45.17,0,45.17,22.59,No
112501415,Bronze,SOHO,4412,MT,3,5,,8,45.33,0,45.33,15.11,No
115504683,Iron,SOHO,4030,VU,2,,,2,45.33,0,45.33,22.67,No
115147142,Bronze,SOHO,4002,VT,3,3,,6,45.33,0,45.33,15.11,No
40791323,Bronze,SOHO,6100,DI,3,1,,4,45.33,0,45.33,15.11,No
115562843,Bronze,SOHO,4000,AD,5,1,,6,45.5,0,45.5,9.1,No
20365056,Bronze,SOHO,4003,VU,4,2,,6,45.67,0,45.67,11.42,No
123607537,Bronze,SOHO,6100,AD?,4,1,,5,45.67,0,45.67,11.42,No
123712399,Bronze,SOHO,6000,AD?,3,1,,4,45.67,0,45.67,15.22,No
108576586,Bronze,SOHO,6600,RJ,3,,,3,45.67,0,45.67,15.22,No
126623692,Bronze,SOHO,6300,RJ,5,,,5,45.67,0,45.67,9.13,No
20517820,Bronze,SOHO,4000,AD,5,9,,14,45.83,0,45.83,9.17,No
112595704,Bronze,SOHO,4400,MT,4,2,,6,46,0,46,11.5,No
115331782,Bronze,SOHO,4220,AD,3,,,3,46,0,46,15.33,No
355026,Iron,SOHO,4400,MT,3,,,3,46,0,46,15.33,No
123031326,Bronze,SOHO,6001,VM,1,,,1,46,0,46,46,No
201302078,Iron,SOHO,6450,VM,4,,,4,46,0,46,11.5,No
123136836,Bronze,SOHO,6001,DI,5,1,,6,46,0,46,9.2,No
123141616,Bronze,SOHO,6000,DI,3,1,,4,46,0,46,15.33,No
112592703,Bronze,SOHO,4581,MT,4,,,4,46,0,46,11.5,No
112598154,Bronze,SOHO,4400,MT,3,,,3,46.17,0,46.17,15.39,No
807905,Iron,SOHO,6100,DI,4,,,4,46.17,0,46.17,11.54,No
160075827,Bronze,SOHO,4000,AD,2,1,,3,46.17,0,46.17,23.09,No
126505701,Bronze,SOHO,6500,RJ,4,2,,6,46.17,0,46.17,11.54,No
